"code","country","year","subregions","regions"
51,"Armenia",2011,"WAS","AS"
112,"Belarus",2009,"EEU","EU"
72,"Botswana",2011,"SAF","AF"
76,"Brazil",2010,"SAM","AM"
156,"China",2000,"EAS","AS"
214,"DominicanRepublic",2010,"CRB","AM"
300,"Greece",2001,"SEU","EU"
372,"Ireland",2011,"NEU","EU"
404,"Kenya",2009,"EAF","AF"
417,"KyrgyzRepublic",2009,"CAS","AS"
484,"Mexico",2015,"CAM","AM"
496,"Mongolia",2000,"EAS","AS"
558,"Nicaragua",2005,"CAM","AM"
275,"Palestine",2007,"WAS","AS"
591,"Panama",2010,"CAM","AM"
616,"Poland",2002,"EEU","EU"
620,"Portugal",2011,"SEU","EU"
630,"PuertoRico",2000,"CRB","AM"
642,"Romania",2002,"EEU","EU"
686,"Senegal",2002,"WAF","AF"
710,"SouthAfrica",2011,"SAF","AF"
840,"UnitedStates",2000,"NAM","AM"
